subject,category,term,definition,,,
LC Business,Management & HRM,Chain of Command,The line of authority within a business along which instructions are passed.,,,
LC Business,Management & HRM,Commission,A payment system where employees receive a percentage of the sales they make.,,,
LC Business,Management & HRM,Communication,The exchange of information between people or groups.,,,
LC Business,Management & HRM,Conciliation,"A process in which a third party acts as a go-between, helping to resolve a dispute by facilitating communication.",,,
LC Business,Management & HRM,Constructive Dismissal,When an employee resigns because the employer has made their working life so difficult it is untenable.,,,
LC Business,Management & HRM,Controlling,"Monitoring performance, comparing it with targets, and taking corrective action if necessary.",,,
LC Business,Management & HRM,Delegation,The assignment of authority and responsibility to another person to carry out specific activities.,,,
LC Business,Management & HRM,Democratic Leadership,A leadership style where the manager involves employees in decision-making.,,,
LC Business,Management & HRM,Development,Long-term training focused on helping an employee realise their full potential.,,,
LC Business,Management & HRM,Disciplinary Procedure,A formal process for dealing with employee misconduct or poor performance.,,,
LC Business,Management & HRM,Dismissal,The termination of an employee's contract by an employer.,,,
LC Business,Management & HRM,Employment Equality Acts 1998-2015,Legislation that prohibits discrimination in the workplace on nine specific grounds.,,,
LC Business,Management & HRM,Empowerment,Giving employees the authority and responsibility to make their own decisions about their work.,,,
LC Business,Management & HRM,Flexitime,"A system where employees can choose their own starting and finishing times, within certain limits.",,,
LC Business,Management & HRM,Glass Ceiling,"An unacknowledged barrier to advancement in a profession, especially affecting women and members of minorities.",,,
LC Business,Management & HRM,Golden Handshake,"A large payment made to an employee when they leave a company, especially upon retirement or redundancy.",,,
LC Business,Management & HRM,Grievance,A formal complaint made by an employee to their employer.,,,
LC Business,Management & HRM,Grievance Procedure,A formal process for employees to raise complaints with their employer.,,,
LC Business,Management & HRM,Human Resource Management (HRM),"The management of a business's workforce, including recruitment, selection, training, and motivation.",,,
LC Business,Management & HRM,Induction Training,"Training provided to new employees to introduce them to the job, their colleagues, and the business.",,,
LC Business,Management & HRM,Industrial Relations,The relationship between employers and employees in a business.,,,
LC Business,Management & HRM,Job Description,"A document outlining the duties, tasks, and responsibilities of a specific job.",,,
LC Business,Management & HRM,Job Enlargement,Increasing the number of tasks an employee performs in their job.,,,
LC Business,Management & HRM,Job Enrichment,Giving employees more challenging and interesting tasks and greater responsibility.,,,
LC Business,Management & HRM,Job Rotation,Moving employees from one job to another to provide them with a greater variety of tasks.,,,
LC Business,Management & HRM,Job Sharing,A flexible work arrangement where two part-time employees share the responsibilities of one full-time job.,,,
LC Business,Management & HRM,Labour Court,"A court of last resort for industrial disputes, which investigates disputes and makes recommendations.",,,
LC Business,Management & HRM,Labour Turnover,The rate at which employees leave a company and are replaced.,,,
LC Business,Management & HRM,Laissez-Faire Leadership,A leadership style where the manager gives employees the freedom to make their own decisions.,,,
LC Business,Management & HRM,Leadership,The ability to influence and direct people in order to achieve the goals of a group.,,,
LC Business,Management & HRM,Leadership Styles,The different ways a manager can lead a team.,,,
LC Business,Management & HRM,Leading,Motivating and influencing staff to achieve business objectives.,,,
LC Business,Management & HRM,Management,"The process of planning, organising, and controlling the resources of a business to achieve its goals.",,,
LC Business,Management & HRM,Maslow's Hierarchy of Needs,"A theory of motivation with a five-tier model of human needs: Physiological, Safety, Social, Esteem, Self-Actualisation.",,,
LC Business,Management & HRM,McGregor's Theory X,A management theory assuming employees are inherently lazy and will avoid work if they can.,,,
LC Business,Management & HRM,McGregor's Theory Y,"A management theory assuming employees are ambitious, self-motivated, and enjoy their work.",,,
LC Business,Management & HRM,Motivation,The willingness of people to work hard and contribute their best efforts to a task.,,,
LC Business,Management & HRM,Official Strike,A strike approved by a secret ballot of union members and supported by the union.,,,
LC Business,Management & HRM,Off-the-job Training,Training that takes place away from the normal work environment.,,,
LC Business,Management & HRM,On-the-job Training,Training that takes place in the normal work environment.,,,
LC Business,Management & HRM,Organisational Structure,"The way a business is organised in terms of departments, authority, and communication.",,,
LC Business,Management & HRM,Organising,"Arranging resources (people, finance, materials) in the most effective way to achieve objectives.",,,
LC Business,Management & HRM,Performance Appraisal,"A formal review of an employee's performance, identifying strengths and weaknesses.",,,
LC Business,Management & HRM,Person Specification,"A document detailing the qualifications, skills, experience, and characteristics needed to do a job.",,,
LC Business,Management & HRM,Piece Rate,A payment system where employees are paid based on the number of items they produce.,,,
LC Business,Management & HRM,Planning,Setting objectives and goals for the business and deciding how to achieve them.,,,
LC Business,Management & HRM,Recruitment,The process of attracting suitable candidates to apply for a job vacancy.,,,
LC Business,Management & HRM,Redundancy,"When an employee's job no longer exists, and they lose their job through no fault of their own.",,,
LC Business,Management & HRM,Selection,The process of choosing the most suitable candidate for a job from all applicants.,,,
LC Business,Management & HRM,Shop Steward,An elected representative of a trade union in a workplace.,,,
LC Business,Management & HRM,Span of Control,The number of subordinates who report directly to a manager.,,,
LC Business,Management & HRM,Teamwork,A group of people working together to achieve a common goal.,,,
LC Business,Management & HRM,Time Rate,A payment system where employees are paid based on the number of hours they work.,,,
LC Business,Management & HRM,Trade Dispute,"A disagreement between an employer and employees over issues such as pay, conditions, or terms of employment.",,,
LC Business,Management & HRM,Trade Union,An organisation that represents employees and negotiates with employers on their behalf.,,,
LC Business,Management & HRM,Training,Providing employees with the skills and knowledge needed to perform their jobs effectively.,,,
LC Business,Management & HRM,Unfair Dismissals Act 1977-2015,Legislation that protects employees from being dismissed unfairly by their employer.,,,
LC Business,Management & HRM,Unofficial Strike,A strike undertaken by employees without the consent or support of their union.,,,
LC Business,Management & HRM,Whistleblowing,When an employee reports illegal or unethical practices within their company to an outside authority.,,,
LC Business,Management & HRM,Workforce Planning,Estimating the future demand for employees and ensuring the business has the right number of staff with the right skills.,,,
LC Business,Management & HRM,Work-life Balance,The concept of proper prioritisation between work and leisure time.,,,
LC Business,Management & HRM,Workplace Relations Commission (WRC),A state body that promotes good industrial relations and helps resolve disputes.,,,
LC Business,Management & HRM,Work-to-Rule,A form of industrial action where employees do the bare minimum required by their contract.,,,
LC Business,Marketing,Above-the-line Promotion,"Promotional activities that use mass media, such as TV, radio, and newspapers.",,,
LC Business,Marketing,Advertising,"Paid, non-personal communication of information about a product or service through media.",,,
LC Business,Marketing,AIDA Model,"A model used in promotion that describes the steps a customer goes through: Awareness, Interest, Desire, Action.",,,
LC Business,Marketing,Below-the-line Promotion,"Promotional activities that the business has direct control over, such as sales promotions, direct mail, and PR.",,,
LC Business,Marketing,Brand,"A name, term, sign, symbol, or design that identifies the products of a company.",,,
LC Business,Marketing,Brand Loyalty,The tendency of consumers to continuously purchase one brand's products over another's.,,,
LC Business,Marketing,Branding,"Creating a unique name, symbol, or design that identifies and differentiates a product from others.",,,
LC Business,Marketing,Channels of Distribution,The path a product takes from the producer to the consumer.,,,
LC Business,Marketing,Consumer Protection,Laws and organisations that protect consumers.,,,
LC Business,Marketing,Consumerism,A social movement that seeks to protect and enhance the rights of consumers.,,,
LC Business,Marketing,Corporate Image,"The public's perception of a company, formed by its products, services, and reputation.",,,
LC Business,Marketing,Cost-Plus Pricing,Setting a price by adding a percentage mark-up to the cost of producing the product.,,,
LC Business,Marketing,Customer Loyalty,A customer's willingness to buy from a particular brand repeatedly.,,,
LC Business,Marketing,Digital Marketing,The promotion of products or brands using electronic devices or the internet.,,,
LC Business,Marketing,Direct Mail,Sending promotional materials directly to target customers through the post.,,,
LC Business,Marketing,Direct Marketing,"Promotional activities that communicate directly with individual consumers, e.g., direct mail, telemarketing.",,,
LC Business,Marketing,E-Commerce,The buying and selling of goods and services over the internet.,,,
LC Business,Marketing,Focus Group,"A small group of people brought together to discuss their opinions on a product, service, or concept.",,,
LC Business,Marketing,Impulse Buying,"The unplanned decision to buy a product or service, made just before a purchase.",,,
LC Business,Marketing,Loss Leader,A product sold at a very low price to attract customers into a store.,,,
LC Business,Marketing,Market Research,"The process of gathering, recording, and analysing data about the market.",,,
LC Business,Marketing,Market Segmentation,"Dividing the market into distinct groups of buyers with different needs, characteristics, or behaviours.",,,
LC Business,Marketing,Market Share,The portion of a market controlled by a particular company or product.,,,
LC Business,Marketing,Marketing,"The process of identifying, anticipating, and satisfying customer needs profitably.",,,
LC Business,Marketing,Marketing Mix,"The combination of product, price, place, and promotion.",,,
LC Business,Marketing,Marketing Research,"The systematic gathering, recording, and analysing of data about problems relating to the marketing of goods and services.",,,
LC Business,Marketing,Marketing Strategy,A business's plan for reaching its target customers and converting them into customers of its products or services.,,,
LC Business,Marketing,Merchandising,The way in which goods are presented and promoted in a retail store to maximise sales.,,,
LC Business,Marketing,Niche Market,"A small, specialised segment of a larger market.",,,
LC Business,Marketing,Own-Brand Products,"Products that are sold by a retailer under its own name, rather than the name of the manufacturer.",,,
LC Business,Marketing,Penetration Pricing,Setting a low initial price to attract a large number of buyers quickly and win market share.,,,
LC Business,Marketing,Personal Selling,Direct communication between a salesperson and a potential customer.,,,
LC Business,Marketing,Place,Where the product is sold and the channel of distribution used to get it to the customer.,,,
LC Business,Marketing,Price,The amount of money a customer pays for a product or service.,,,
LC Business,Marketing,Price Skimming,Setting a high price for a new product to maximise revenue before competitors enter the market.,,,
LC Business,Marketing,Primary Research (Field Research),"Gathering new, first-hand information directly from the source.",,,
LC Business,Marketing,Product,The good or service being sold to the customer.,,,
LC Business,Marketing,Product Life Cycle,"The stages a product goes through from introduction to withdrawal: Introduction, Growth, Maturity, Saturation, Decline.",,,
LC Business,Marketing,Product Portfolio,The range of products a company offers for sale.,,,
LC Business,Marketing,Promotion,All the activities used to communicate with customers and persuade them to buy the product.,,,
LC Business,Marketing,Promotional Mix,"The combination of promotional tools used to promote a product: Advertising, Sales Promotion, Public Relations, Personal Selling.",,,
LC Business,Marketing,Psychological Pricing,"Setting prices that have a special appeal to target consumers, e.g., €9.99 instead of €10.",,,
LC Business,Marketing,Public Relations (PR),Building a positive image and relationship between the business and its public.,,,
LC Business,Marketing,Publicity,Gaining media coverage for a business or its products without directly paying for it.,,,
LC Business,Marketing,Qualitative Research,"Research that gathers non-numerical data, such as opinions and attitudes.",,,
LC Business,Marketing,Quantitative Research,Research that gathers numerical data and can be statistically analysed.,,,
LC Business,Marketing,Relationship Marketing,A marketing strategy focused on customer loyalty and long-term engagement rather than short-term sales.,,,
LC Business,Marketing,Retailer,A business that sells goods directly to consumers.,,,
LC Business,Marketing,Sales Promotion,"Short-term incentives to encourage the purchase of a product, e.g., free samples, competitions, loyalty cards.",,,
LC Business,Marketing,Secondary Research (Desk Research),Using existing information that has already been collected by others.,,,
LC Business,Marketing,Sponsorship,"When a business pays to be associated with an event, team, or individual to increase its brand awareness.",,,
LC Business,Marketing,SWOT Analysis,"A planning tool used to evaluate a business's strengths, weaknesses, opportunities, and threats.",,,
LC Business,Marketing,Target Market,A specific group of consumers at which a product or service is aimed.,,,
LC Business,Marketing,Telemarketing,The promotion of goods or services by telephone.,,,
LC Business,Marketing,Unique Selling Proposition (USP),A feature of a product that makes it different from and better than its competitors.,,,
LC Business,Marketing,Wholesaler,A business that buys goods in large quantities from producers and sells them in smaller quantities to retailers.,,,
LC Business,Operations Management,Automation,"The use of technology and control systems to operate machinery and processes, reducing the need for human labour.",,,
LC Business,Operations Management,Batch Production,Producing a limited number of identical items in a group or batch.,,,
LC Business,Operations Management,Break-even Analysis,A tool used to determine the sales volume that must be achieved to cover all costs.,,,
LC Business,Operations Management,Break-even Point,The point where a company's total revenue equals its total costs.,,,
LC Business,Operations Management,Buffer Stock,A minimum level of stock held to protect against unforeseen shortages or increases in demand.,,,
LC Business,Operations Management,Economies of Scale,Cost advantages that a business can enjoy as it increases its scale of production.,,,
LC Business,Operations Management,Ergonomics,"The study of how people work in their environment, aiming to improve efficiency and safety.",,,
LC Business,Operations Management,Fixed Costs,Costs that do not change with the level of output.,,,
LC Business,Operations Management,Inventory,"The stock of goods that a business holds for sale, production, or use.",,,
LC Business,Operations Management,Inventory Control,The process of managing the amount of stock on hand.,,,
LC Business,Operations Management,ISO 9000,A series of international standards for quality management systems.,,,
LC Business,Operations Management,Job Production,"Producing a single, unique item to a customer's specific order.",,,
LC Business,Operations Management,Just-In-Time (JIT),A stock control system where materials are delivered just as they are needed for production.,,,
LC Business,Operations Management,Lean Production,"An approach to management that focuses on cutting out waste, whilst ensuring quality.",,,
LC Business,Operations Management,Logistics,"The overall process of managing how resources are acquired, stored, and transported to their final destination.",,,
LC Business,Operations Management,Mass Customisation,A marketing and manufacturing technique that combines the flexibility and personalisation of 'custom-made' with the low unit costs of mass production.,,,
LC Business,Operations Management,Mass Production,The continuous production of large quantities of standardised products.,,,
LC Business,Operations Management,Operations Management,The management of the processes that transform resources into finished goods or services.,,,
LC Business,Operations Management,Outsourcing,Hiring another company to perform a specific task or function for the business.,,,
LC Business,Operations Management,Production,The process of making or manufacturing goods.,,,
LC Business,Operations Management,Productivity,"A measure of efficiency, calculated as output divided by input.",,,
LC Business,Operations Management,Quality Assurance,A system that aims to prevent defects by building quality into the production process itself.,,,
LC Business,Operations Management,Quality Circles,"Small groups of employees who meet regularly to identify, analyse, and solve work-related problems and improve quality.",,,
LC Business,Operations Management,Quality Control,A system of inspecting products to ensure they meet the required standards.,,,
LC Business,Operations Management,Quality Management,The processes and systems used to ensure products or services meet customer expectations.,,,
LC Business,Operations Management,Stock Control,"Managing the levels of raw materials, work-in-progress, and finished goods held by a business.",,,
LC Business,Operations Management,Supply Chain,"The entire process of making and selling commercial goods, from the initial sourcing of materials to the final delivery of products to end users.",,,
LC Business,Operations Management,Supply Chain Management,"The management of the flow of goods and services, from the origin of raw materials to the final consumption.",,,
LC Business,Operations Management,Total Quality Management (TQM),A business-wide approach where everyone is committed to achieving high quality.,,,
LC Business,Starting a Business,AGM (Annual General Meeting),A mandatory yearly meeting of a company's shareholders.,,,
LC Business,Starting a Business,Articles of Association,A legal document that outlines the internal rules for running a company.,,,
LC Business,Starting a Business,Business Angels,"Wealthy individuals who provide capital for a business start-up, usually in exchange for convertible debt or ownership equity.",,,
LC Business,Starting a Business,Business Plan,A detailed document outlining the objectives of a new business and how it will achieve them.,,,
LC Business,Starting a Business,Certificate of Incorporation,The legal document that officially creates a company and makes it a separate legal entity.,,,
LC Business,Starting a Business,Contribution,"If an item is insured with two companies, they will divide the cost of any claim between them.",,,
LC Business,Starting a Business,Co-operative,"A business owned and run jointly by its members, who share the profits or benefits.",,,
LC Business,Starting a Business,Copyright,"A legal right that protects the original work of an author, artist, or composer.",,,
LC Business,Starting a Business,Crowdfunding,"The practice of funding a project or venture by raising small amounts of money from a large number of people, typically via the internet.",,,
LC Business,Starting a Business,Deed of Partnership,"A legal document that sets out the rules for a partnership, such as how profits will be shared and how the business will be run.",,,
LC Business,Starting a Business,Franchise,"An arrangement where a business (franchisor) allows another business (franchisee) to use its name, logo, and business model in return for a fee.",,,
LC Business,Starting a Business,Franchisee,The business that pays for the right to use another company's brand and business model.,,,
LC Business,Starting a Business,Franchising,A business model where one company sells the right to use its name and products to another business.,,,
LC Business,Starting a Business,Franchisor,The business that licenses its brand and business model to another business.,,,
LC Business,Starting a Business,Grant Aid,"Financial assistance provided by the government or other bodies, which does not have to be repaid.",,,
LC Business,Starting a Business,Incorporation,The legal process of forming a company.,,,
LC Business,Starting a Business,Indemnity,You cannot make a profit from an insurance claim.,,,
LC Business,Starting a Business,Insurable Interest,"To insure something, you must benefit from its existence and suffer from its loss.",,,
LC Business,Starting a Business,Insurance,A contract that provides financial protection against a possible loss.,,,
LC Business,Starting a Business,Intellectual Property,"Creations of the mind, such as inventions, literary and artistic works, designs, symbols, names, and images used in commerce.",,,
LC Business,Starting a Business,Limited Company,A business with a separate legal identity from its owners.,,,
LC Business,Starting a Business,Limited Liability,"A legal status where a person's financial liability is limited to a fixed sum, most commonly the value of their investment in a company.",,,
LC Business,Starting a Business,Limited Liability Partnership (LLP),A partnership where some or all of the partners have limited liability.,,,
LC Business,Starting a Business,Limited Partnership,A partnership with at least one general partner (unlimited liability) and one limited partner (limited liability).,,,
LC Business,Starting a Business,Memorandum of Association,"A legal document that sets out the company's name, registered office, and objectives.",,,
LC Business,Starting a Business,Partnership,"A business owned by two to twenty partners, who typically have unlimited liability.",,,
LC Business,Starting a Business,Partnership Agreement,A legal document that outlines the terms of a partnership.,,,
LC Business,Starting a Business,Patent,"A legal right granted to an inventor that prevents others from making, using, or selling their invention for a fixed period.",,,
LC Business,Starting a Business,Premium,The fee paid to an insurance company for cover.,,,
LC Business,Starting a Business,Private Limited Company (Ltd),"A business owned by one or more shareholders (up to 149), with limited liability. Shares are not available to the public.",,,
LC Business,Starting a Business,Public Limited Company (PLC),"A business owned by shareholders (minimum of one), with limited liability. Shares can be bought and sold by the public on the stock exchange.",,,
LC Business,Starting a Business,Sole Trader,"A business owned and controlled by one person, with unlimited liability.",,,
LC Business,Starting a Business,State-owned Enterprise,A business that is owned and operated by the government.,,,
LC Business,Starting a Business,Subrogation,"Once an insurance company pays compensation, it takes over the right to sue any third party responsible for the loss.",,,
LC Business,Starting a Business,Trademark,"A symbol, word, or words legally registered to represent a company or product.",,,
LC Business,Starting a Business,Unlimited Company,A company where the liability of its shareholders is not limited.,,,
LC Business,Starting a Business,Unlimited Liability,The owner of a business is personally responsible for all the debts of the business.,,,
LC Business,Starting a Business,Utmost Good Faith,You must disclose all relevant information when applying for insurance.,,,
LC Business,Starting a Business,Venture Capital,A form of private equity and a type of financing that investors provide to start-up companies and small businesses that are believed to have long-term growth potential.,,,
LC Chemistry,Atomic Structure,Atom,The smallest particle of an element that retains the chemical properties of that element.,,,
LC Chemistry,Atomic Structure,Element,"A pure substance consisting of only one type of atom, which cannot be broken down into a simpler substance by chemical means.",,,
LC Chemistry,Atomic Structure,Compound,A substance formed when two or more different elements are chemically bonded together.,,,
LC Chemistry,Atomic Structure,Mixture,A substance made by combining two or more different materials in such a way that no chemical reaction occurs.,,,
LC Chemistry,Atomic Structure,Proton,A positively charged subatomic particle found in the nucleus of an atom.,,,
LC Chemistry,Atomic Structure,Neutron,"A subatomic particle with no electric charge, found in the nucleus of an atom.",,,
LC Chemistry,Atomic Structure,Electron,A negatively charged subatomic particle that orbits the nucleus of an atom.,,,
LC Chemistry,Atomic Structure,Nucleus,"The small, dense, positively charged center of an atom, containing protons and neutrons.",,,
LC Chemistry,Atomic Structure,Atomic Number (Z),The number of protons in the nucleus of an atom; it defines an element.,,,
LC Chemistry,Atomic Structure,Mass Number (A),The total number of protons and neutrons in the nucleus of an atom.,,,
LC Chemistry,Atomic Structure,Isotopes,Atoms of the same element that have the same number of protons but a different number of neutrons.,,,
LC Chemistry,Atomic Structure,Relative Atomic Mass (Ar),"The average mass of an atom of an element, taking into account its isotopes, relative to 1/12th the mass of a carbon-12 atom.",,,
LC Chemistry,Atomic Structure,Mass Spectrometer,An instrument used to determine the relative atomic mass of an element and the abundance of its isotopes.,,,
LC Chemistry,Atomic Structure,Energy Level,A fixed energy value that an electron in an atom may have.,,,
LC Chemistry,Atomic Structure,Ground State,The state in which the electrons in an atom occupy the lowest available energy levels.,,,
LC Chemistry,Atomic Structure,Excited State,The state in which one or more electrons in an atom have absorbed energy and moved to a higher energy level.,,,
LC Chemistry,Atomic Structure,Atomic Orbital,A region in space around the nucleus of an atom where there is a high probability of finding an electron.,,,
LC Chemistry,Atomic Structure,Sublevel,"A subdivision of a main energy level, consisting of one or more orbitals of the same energy (e.g., s, p, d, f).",,,
LC Chemistry,Atomic Structure,Aufbau Principle,States that electrons occupy the lowest energy orbitals available first.,,,
LC Chemistry,Atomic Structure,Hund's Rule of Maximum Multiplicity,"States that when electrons occupy degenerate orbitals, they must first occupy them singly with parallel spins.",,,
LC Chemistry,Atomic Structure,Pauli Exclusion Principle,"States that no two electrons in the same atom can have the same set of four quantum numbers, meaning an orbital can hold a maximum of two electrons with opposite spins.",,,
LC Chemistry,Atomic Structure,Electron Configuration,The arrangement of electrons in the orbitals of an atom.,,,
LC Chemistry,Atomic Structure,Ion,"An atom or molecule that has gained or lost one or more electrons, giving it a net positive or negative charge.",,,
LC Chemistry,Atomic Structure,Cation,"A positively charged ion, formed by an atom losing electrons.",,,
LC Chemistry,Atomic Structure,Anion,"A negatively charged ion, formed by an atom gaining electrons.",,,
LC Chemistry,Atomic Structure Models,Dalton's Atomic Theory,Elements are made of indivisible atoms; atoms of the same element are identical; atoms combine in whole number ratios.,,,
LC Chemistry,Atomic Structure Models,Thomson's Plum Pudding Model,Proposed the atom was a sphere of positive charge with negatively charged electrons embedded in it.,,,
LC Chemistry,Atomic Structure Models,Rutherford's Gold Foil Experiment,"Led to the discovery of the small, dense, positively charged nucleus.",,,
LC Chemistry,Atomic Structure Models,Bohr Model,Described electrons orbiting the nucleus in fixed energy levels or shells.,,,
LC Chemistry,Atomic Structure Models,Emission Spectrum,"A spectrum of light released from an excited atom as its electrons fall to lower energy levels, seen as bright lines on a dark background.",,,
LC Chemistry,Atomic Structure Models,Absorption Spectrum,"A spectrum of light that has passed through a sample of a substance, with dark lines corresponding to wavelengths absorbed by the substance.",,,
LC Chemistry,Atomic Structure Models,Electromagnetic Spectrum,"The range of all types of electromagnetic radiation, from gamma rays to radio waves.",,,
LC Chemistry,The Periodic Table,Periodic Law,"When elements are arranged in order of increasing atomic number, their properties vary periodically.",,,
LC Chemistry,The Periodic Table,Group,A vertical column of elements in the periodic table with similar chemical properties due to the same number of valence electrons.,,,
LC Chemistry,The Periodic Table,Period,"A horizontal row of elements in the periodic table, where elements have the same number of main energy levels.",,,
LC Chemistry,The Periodic Table,Mendeleev,"Credited with creating the first version of the periodic table, arranged by atomic mass and leaving gaps for undiscovered elements.",,,
LC Chemistry,The Periodic Table,Newlands' Octaves,An early attempt to group elements where he observed that properties repeated every eighth element.,,,
LC Chemistry,The Periodic Table,Dobereiner's Triads,Groups of three elements with similar properties where the atomic weight of the middle element is approximately the average of the other two.,,,
LC Chemistry,The Periodic Table,Atomic Radius,Half the distance between the nuclei of two bonded atoms of the same element; it generally decreases across a period and increases down a group.,,,
LC Chemistry,The Periodic Table,First Ionisation Energy,The minimum energy required to remove the most loosely bound electron from a mole of gaseous atoms in their ground state.,,,
LC Chemistry,The Periodic Table,Second Ionisation Energy,The energy required to remove a second electron from a mole of gaseous positive ions.,,,
LC Chemistry,The Periodic Table,Electronegativity,A measure of the relative attraction that an atom in a molecule has for a shared pair of electrons in a covalent bond.,,,
LC Chemistry,The Periodic Table,Alkali Metals,"Elements in Group 1 of the periodic table, known for being highly reactive metals.",,,
LC Chemistry,The Periodic Table,Alkaline Earth Metals,"Elements in Group 2 of the periodic table, which are reactive metals.",,,
LC Chemistry,The Periodic Table,Halogens,"Elements in Group 17 of the periodic table, which are highly reactive non-metals.",,,
LC Chemistry,The Periodic Table,Noble Gases,"Elements in Group 18 of the periodic table, which are very unreactive due to a full outer shell of electrons.",,,
LC Chemistry,The Periodic Table,Transition Metals,"Elements in the d-block of the periodic table, known for forming coloured ions and having variable oxidation states.",,,
LC Chemistry,Chemical Bonding,Chemical Bond,A force of attraction holding atoms together in a compound.,,,
LC Chemistry,Chemical Bonding,Valence Electrons,"Electrons in the outermost energy level of an atom, which are involved in chemical bonding.",,,
LC Chemistry,Chemical Bonding,Octet Rule,"Atoms tend to react in order to achieve a stable electron configuration with eight valence electrons, similar to that of a noble gas.",,,
LC Chemistry,Chemical Bonding,Ionic Bond,"The electrostatic force of attraction between oppositely charged ions, formed by the complete transfer of electrons from a metal to a non-metal.",,,
LC Chemistry,Chemical Bonding,Covalent Bond,"A chemical bond formed by the sharing of one or more pairs of electrons between two atoms, typically non-metals.",,,
LC Chemistry,Chemical Bonding,Single Bond,A covalent bond in which one pair of electrons is shared between two atoms.,,,
LC Chemistry,Chemical Bonding,Double Bond,A covalent bond in which two pairs of electrons are shared between two atoms.,,,
LC Chemistry,Chemical Bonding,Triple Bond,A covalent bond in which three pairs of electrons are shared between two atoms.,,,
LC Chemistry,Chemical Bonding,Sigma (σ) Bond,A covalent bond formed by the head-on overlap of atomic orbitals.,,,
LC Chemistry,Chemical Bonding,Pi (π) Bond,A covalent bond formed by the sideways overlap of p-orbitals.,,,
LC Chemistry,Chemical Bonding,Non-polar Covalent Bond,A covalent bond where electrons are shared equally between two atoms of similar electronegativity (difference < 0.4).,,,
LC Chemistry,Chemical Bonding,Polar Covalent Bond,"A covalent bond where electrons are shared unequally between two atoms due to a difference in electronegativity (difference 0.4 - 1.7), creating partial positive and negative charges.",,,
LC Chemistry,Chemical Bonding,Dipole,A molecule that has a partial positive charge on one end and a partial negative charge on the other due to polar bonds.,,,
LC Chemistry,Chemical Bonding,VSEPR Theory,Valence Shell Electron Pair Repulsion theory; used to predict the geometric shape of molecules based on minimising repulsion between electron pairs.,,,
LC Chemistry,Chemical Bonding,Linear Shape,"Molecular shape with a bond angle of 180°, e.g., BeCl₂.",,,
LC Chemistry,Chemical Bonding,Trigonal Planar Shape,"Molecular shape with bond angles of 120°, e.g., BF₃.",,,
LC Chemistry,Chemical Bonding,Tetrahedral Shape,"Molecular shape with bond angles of 109.5°, e.g., CH₄.",,,
LC Chemistry,Chemical Bonding,Pyramidal Shape,"Molecular shape with bond angles of 107°, resulting from a tetrahedral arrangement with one lone pair, e.g., NH₃.",,,
LC Chemistry,Chemical Bonding,V-Shaped (Bent) Shape,"Molecular shape with bond angles of 104.5°, resulting from a tetrahedral arrangement with two lone pairs, e.g., H₂O.",,,
LC Chemistry,Chemical Bonding,Intermolecular Forces,The forces of attraction that exist between molecules.,,,
LC Chemistry,Chemical Bonding,Van der Waals Forces,"Weak, temporary intermolecular forces of attraction caused by the movement of electrons, present in all molecules.",,,
LC Chemistry,Chemical Bonding,Dipole-Dipole Forces,Forces of attraction between the positive end of one polar molecule and the negative end of another polar molecule.,,,
LC Chemistry,Chemical Bonding,Hydrogen Bonding,"A strong type of dipole-dipole attraction that occurs between molecules where hydrogen is bonded to a highly electronegative atom (N, O, or F).",,,
LC Chemistry,Chemical Bonding,Metallic Bonding,The electrostatic force of attraction between the positive metal ions and the delocalised sea of electrons.,,,
LC Chemistry,Chemical Bonding,Allotropes,"Different structural forms of the same element, e.g., diamond and graphite.",,,
LC Chemistry,Chemical Bonding,Diamond,"An allotrope of carbon with a covalent network solid structure, making it very hard.",,,
LC Chemistry,Chemical Bonding,Graphite,"An allotrope of carbon with a layered structure, allowing layers to slide over each other.",,,
LC Chemistry,Chemical Bonding,Silicon Dioxide,"A giant covalent structure that is hard, has a high melting point, and is a poor conductor of electricity.",,,
LC Chemistry,Chemical Bonding,Molecular Solid,"A solid composed of discrete molecules held together by weak intermolecular forces, e.g., iodine.",,,
LC Chemistry,Chemical Bonding,Ionic Lattice,"A regular, repeating 3D arrangement of ions in a crystal.",,,
LC Chemistry,Chemical Bonding,Coordinate Covalent Bond (Dative Bond),A covalent bond in which both of the shared electrons are provided by one of the bonded atoms.,,,
LC Chemistry,Stoichiometry,Relative Molecular Mass (Mr),The sum of the relative atomic masses of all the atoms in a molecule.,,,
LC Chemistry,Stoichiometry,The Mole,The amount of a substance that contains the same number of particles as there are atoms in exactly 12g of carbon-12; the SI unit for amount of substance.,,,
LC Chemistry,Stoichiometry,Avogadro's Constant (NA),"The number of particles in one mole of a substance, approximately 6.02 x 10²³ particles.",,,
LC Chemistry,Stoichiometry,Molar Mass,The mass in grams of one mole of a substance.,,,
LC Chemistry,Stoichiometry,Molar Volume of a Gas,"The volume occupied by one mole of any gas at a certain temperature and pressure (22.4 L at STP, 24 L at RTP).",,,
LC Chemistry,Stoichiometry,STP (Standard Temperature and Pressure),0°C (273 K) and 1 atmosphere (101.3 kPa).,,,
LC Chemistry,Stoichiometry,Empirical Formula,The simplest whole-number ratio of atoms of each element present in a compound.,,,
LC Chemistry,Stoichiometry,Molecular Formula,The actual number of atoms of each element in a molecule of a compound.,,,
LC Chemistry,Stoichiometry,Percentage Composition,The percentage by mass of each element in a compound.,,,
